,Questions,
,What if the support cannot help me?,
,The support fail to make me feel better,
,Measures when the support does not work.,
,Are there any ways when the support dose not work for me?,
,What do I do if the support does not help?,
1667863,Can you prevent mental health problems?,"We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious."
,How to prevent mental health problems?,
,Any ways to prevent mental health probems?,
,Prevent mental health problem,
,How can we stop mental health challenges?,
8904276,Are there cures for mental health problems?,"It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help."
,How can we face mental health problems?,
,How to solve mental health problems?,
,Methods of mental health problem,
,What kind of ways is useful for curing mental health issues?,
4283807,What causes mental health problems?,"Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events."
,Reasons of mental health problem,
,Why do we have mental health problems?,
,What factors cause mental health problem,
,Are there any explanations about the mental health problems,
8690253,What do I do if I am worried about my mental health?,"The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experiencing, and be the start of getting help."
,How shall I do if I am concerned about my mental health?,
,I am worried about my mental health,
,Concerns about personal mental health,
,"I am worried about my mental health,  What shall I need to know?",
2973656,How do I know if I am unwell?,"If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help."
,How can I find whether I am unwell?,
,Important features of feeling unwell,
,How shall I realize that I am felling unwell?,
,Symptoms of feeling unwell,
4759773,What should I do if I am worried about a friend or relative?,This may depend on your relationship with them. Gently encouraging someone to seek appropriate support would be helpful to start with.
,How can I do if am worried about friends and relatives?,
,Worried about friends and relatives,
,Several ways when worrying about friends and relatives,
,Friends and relatives concern,
1511075,How do I deal with someone telling me what to do?,"Some people may advise you on good evidence of what works with the best of intentions, but it's important to find out what works best for you."
,"When someone tells me do something, how shall I do?",
,Are there any ways to cope with others advice?,
,How to cope with others suggestions?,
,How to face other's advice?,
